UDI,Server Type,CPU Utilization [%],Memory Usage [%],Air Temperature [K],Disk I/O Operations,Network Latency [ms],Power Consumption [W],Machine Failure,Vibration Level [g],Cooling Efficiency [%],Network Throughput [Mbps]
1,L,64,43,296.9732675401525,3065,27.18961526530874,317.2950345710638,1,1.7816691041857762,96,676
2,H,45,89,296.0964361710511,4175,28.932155420703474,346.0458898307409,0,1.841094923522856,59,459
3,M,46,87,291.4573363238852,4257,27.26191136280663,354.06960484165904,0,0.9435555074282054,90,242
4,M,23,62,295.21410105970665,2365,38.49041784125901,369.1677955524406,1,1.2688382702264966,97,891
5,L,36,37,293.64905530950205,2485,32.92440685378162,402.10573889548346,0,2.0149166548848183,55,728
6,L,92,27,293.0869773757674,2628,24.327413623293864,366.81644574608293,0,1.0464932524008634,74,110
7,L,40,35,294.28062332760027,4884,29.993245462053288,299.76228851553657,1,1.6313819732059425,61,462
8,H,82,16,297.09415012353793,1142,32.026266244047086,384.74123342995864,0,1.783872862277023,89,211
9,M,90,54,296.7765553833106,3702,24.38509766638373,399.082595571429,1,1.711906394972542,90,149
10,M,92,54,293.7609716813478,2836,31.771529879635402,270.9783317506658,1,1.6565997685500178,88,641
11,L,53,80,295.1692406458233,4011,29.245501779476243,373.49045904082254,0,1.4993948018889365,63,629
12,H,77,44,294.1568799332891,4683,23.87414229605953,415.80802932174396,1,1.5556415289614156,60,722
13,H,57,61,294.51986696453093,3500,23.26547163929185,317.59073269006694,0,1.212246850247526,61,772
14,L,66,30,296.9951117837704,3498,36.84419854696502,384.86778813408216,0,1.5305872053125646,68,973
15,L,84,37,294.8736900053847,2995,25.806090727680544,314.99331632253734,0,1.8360009753165258,91,742
16,L,31,53,291.4856270871539,3109,35.04010448325815,335.15946584748883,0,1.024457070564651,77,421
17,L,13,89,295.27737924972405,1595,33.28336534601051,305.95617982744113,1,1.3959634677178336,68,878
18,M,90,65,298.6327376240524,1939,26.88312856184219,381.14193412509877,1,1.2627448055450152,78,475
19,L,81,19,293.60000252049235,2299,32.4948426172608,388.2652232189662,0,1.82499068544592,94,952
20,L,55,32,298.09708514434845,4750,31.6409056317723,370.97796517411456,1,1.3420205405581245,84,890
21,M,68,57,296.2349296410143,2318,34.533265692886836,379.7187695255751,1,2.2017361184915307,72,283
22,L,43,61,297.352520684646,2152,30.873983223312,386.2140453905861,1,1.985248872658122,65,164
23,L,20,24,296.7508841087387,1363,28.340397295367627,418.0178468459408,1,1.2088452265063647,86,663
24,L,40,64,295.35558945886305,2090,36.61856966215207,321.2495573492094,1,1.160253876983613,70,362
25,L,20,52,293.7735110438213,3094,33.65487718159278,223.46707887708763,1,1.8952802871435188,89,210
26,M,65,59,295.3513486640787,4016,26.783602441600706,329.55399277831964,0,1.4391312491078658,50,574
27,L,47,15,295.4663639019619,2397,29.117906117067896,329.9692006225456,0,1.156958508841245,95,436
28,M,30,42,296.9431192270919,3869,36.49858626904007,391.0659013690358,1,1.148203269750272,86,774
29,M,19,71,290.4979794882905,1659,37.493464784357656,237.35686326013814,0,1.8557556028359408,74,406
30,L,35,64,292.14025951996916,3809,29.108943353226586,363.4884661379916,1,1.5722926165189512,65,792
31,M,100,48,295.47260664747284,2160,32.43775860094196,417.1711000996755,1,1.1731991171450151,82,431
32,L,17,21,295.66546098218106,4166,31.804431172700035,350.6745558697801,1,1.5034175598659225,74,407
33,L,17,40,293.2655487831843,3285,24.498509201390313,378.47270842718217,0,1.482170735325018,71,953
34,H,69,83,295.7145558275268,1795,32.54894790483408,314.57724337887305,0,1.7561172669720875,52,311
35,H,81,62,296.3567114198113,4903,19.238472459064628,386.0124805345158,0,1.2392573519229737,52,324
36,H,43,43,294.61058219952974,1034,34.54860493795506,345.51978108748165,0,1.2798630530200992,60,298
37,L,25,50,297.85911142601304,4367,32.60415388116492,321.6605999878817,0,1.3474107516220308,92,794
38,L,22,19,298.23288884406276,2916,14.870993449297533,352.90344925302884,1,1.6241183800336598,54,520
39,M,96,61,295.24356955718594,3917,25.175778958542605,391.9802456919577,0,1.1183174897852644,93,874
40,L,85,84,296.6817448193991,3539,21.193387281495713,344.50954911969905,0,1.7411839452200213,74,762
41,L,100,66,291.607276422959,1257,24.873511353164936,341.7020932280315,0,1.3857982869630934,87,740
42,L,31,87,297.146742638029,3434,30.66853787074152,347.6370640237614,1,1.818228419174463,65,859
43,L,36,12,297.93197234527315,1269,38.711371920193145,363.5400246856957,0,1.1632646242875906,81,332
44,H,73,66,292.96919340523283,3000,32.58452141916485,360.35372851763003,0,1.436054496434117,78,367
45,L,11,42,296.23344471382603,3914,28.100679950815508,359.76123857546446,1,1.3421875292012166,55,196
46,M,35,16,291.2529009541751,2347,33.58719080421709,289.0265284522168,0,2.1790464236550653,71,862
47,L,92,13,293.4264542764916,4118,33.09960427340677,342.6761399826114,0,1.522786161458384,58,882
48,M,78,48,293.95935799328356,3653,37.23321376613533,413.147430451188,1,1.1757785194526655,59,541
49,M,93,57,292.0504939870979,3741,34.18786475378419,378.8814213367469,1,0.9429711594888249,63,382
50,L,39,83,294.5240193823385,1953,30.027939010683852,410.310071510046,0,1.6085096072000178,96,946
51,H,17,88,294.3920767444225,2725,22.46873696353493,370.6752941492171,1,1.2796316382307933,88,916
52,M,47,25,296.2335537134335,2510,36.7482889481723,360.8965943283395,0,1.1830100600248725,69,736
53,H,70,47,291.97220446915503,2586,29.379408558983663,422.0201186334748,0,1.6972917851188984,54,662
54,H,90,13,296.2466855095956,2741,25.55685657046717,327.89318505683843,0,1.4536652324964834,56,251
55,M,74,13,293.42166372534246,4887,20.07861513040539,325.10275665617525,0,1.5552394877253977,89,412
56,H,76,36,292.44297699745556,3458,24.252306904297296,436.79146147300185,0,1.5200816298828492,63,528
57,L,55,95,294.6072165202732,3892,32.01184084220028,395.24123501073575,0,1.4320837189403308,64,975
58,L,99,95,296.5054862184502,2974,28.052898748977828,335.9033113450795,0,1.8663570996223555,66,149
59,L,81,26,294.03158076436745,3172,34.95888192991272,318.2979998296347,0,0.9259803527512523,69,900
60,L,52,79,296.0278118590745,3259,38.097684732519625,298.4258131929666,0,0.9895866694583617,65,305
61,L,68,63,295.5578128012767,2392,19.32571417749103,334.07686133379286,0,1.3248359337468987,90,686
62,L,55,17,300.0,1944,24.911056936680765,396.12966980715305,1,1.5980567728271058,70,637
63,H,81,62,294.37482878019983,3967,30.69335676266439,241.35087772015984,1,1.6861106872975833,60,983
64,L,44,14,294.6670189087806,4337,37.40152220108579,404.7250925107497,1,1.0487658047183366,53,559
65,L,48,78,297.21584509503384,3182,25.811003292804788,385.39756685406235,0,1.8538452999136374,74,325
66,M,60,56,294.89657740107464,2907,31.12739313162151,298.37814283536,1,2.1444740084989897,51,732
67,L,13,83,295.5019727371615,3832,24.548192281124276,352.93576929934716,0,1.6037739961996156,51,476
68,H,89,49,291.4867075311854,1789,29.57946265191544,324.72408414444067,1,1.3465963859485142,76,200
69,L,86,16,294.7561684807555,3362,30.68941068149415,304.8223901583781,0,1.7990969635234628,80,904
70,H,93,21,293.5898050285425,1299,28.37506651323357,364.57116654577436,1,1.8489861810906496,96,844
71,M,60,34,294.04098469084,4850,38.18866699261187,376.9514926994592,1,1.4013763747101595,57,179
72,L,14,37,295.51307741781153,2321,35.95124521079356,388.4717064487761,0,1.3690331600602752,97,586
73,L,64,52,294.8901817400875,3326,28.404130525860396,260.66046995784586,1,1.488784594103989,57,367
74,H,29,86,296.5443247358274,1373,28.696284623387157,327.8499720086377,1,1.76519863098349,54,146
